user_id,id,transaction_date,item_count,amount,order_status
9911a7d5-e3cd-4b69-b625-5c966c40fa54,57990166-e323-4c57-95fb-9ecae86d9335,07-05-2025 14:18:51,3,42,Pending
2decf528-c65e-4f53-9cf0-db9e8225dc8c,b2cf4fa8-09ca-419d-afd1-c6e68d9f05aa,07-07-2025 05:27:39,2,44,Pending
7e9c3d46-5a63-4457-afc6-054dc957a1ff,5cb67a61-b187-40d5-b897-1d2ee46d3b26,07-02-2025 21:02:10,1,23,Pending
7e9c3d46-5a63-4457-afc6-054dc957a1ff,9961afb4-211e-475f-930e-6e24bbdbeb81,07-18-2025 21:42:37,2,78,Delivered
7e9c3d46-5a63-4457-afc6-054dc957a1ff,b31c023d-767b-4a99-bb01-67f9ecfe4293,07-01-2025 04:46:54,2,48,Pending
cda8cc35-8df7-4dea-bab1-4ac4ab4a461f,fba1994e-6676-4231-b635-96c7ef073709,07-17-2025 14:59:51,2,34,Delivered
cda8cc35-8df7-4dea-bab1-4ac4ab4a461f,6ea5ef00-9def-4331-ad59-94a4f67b2450,07-21-2025 09:27:31,2,70,Cancelled
743281b5-d8b8-4516-a898-200162204352,acaa4ec0-5c65-480c-9f52-0a8c598c92e7,07-18-2025 07:28:59,3,105,Delivered
743281b5-d8b8-4516-a898-200162204352,46f668b1-9c89-41cb-9a23-5c6c64f1eca8,07-17-2025 00:10:56,1,27,Delivered
743281b5-d8b8-4516-a898-200162204352,54ac9b26-e713-4591-9a83-9306b492b41d,07-14-2025 23:59:19,1,38,Shipped
3650b296-e34e-42a5-8e22-72b65535682a,652fd77f-d28f-40d7-8fbe-a051b91780e0,07-04-2025 11:04:41,3,90,Pending
dce838b2-4ccf-41b0-80c8-c2f1a2360346,f11bbb85-4184-49c5-b153-c1ba510ce619,07-20-2025 03:39:44,1,36,Delivered
c5b16e02-4266-457c-b75a-d2c78ca0c1ef,559fb873-8593-4042-aaba-c2222b2bf1ca,07-16-2025 08:56:44,2,76,Delivered
c5b16e02-4266-457c-b75a-d2c78ca0c1ef,61f446f1-434f-4f3c-98a8-21411ff05eaa,07-13-2025 00:25:31,2,38,Shipped
6329d543-f1ef-414f-93d6-ba97fa75b869,9b15990d-eb61-4cac-861d-72518cee377a,07-01-2025 19:43:59,1,21,Pending
6329d543-f1ef-414f-93d6-ba97fa75b869,8870e8c2-204c-4b3a-aff2-2cea6b8b8864,07-17-2025 12:41:41,2,80,Delivered
6329d543-f1ef-414f-93d6-ba97fa75b869,2e5248c7-52fd-4356-bad3-ca5919839685,07-10-2025 05:52:01,1,27,Shipped
6329d543-f1ef-414f-93d6-ba97fa75b869,24be3eb4-4451-4f88-a5b0-0376094760c2,07-11-2025 03:05:24,2,50,Shipped
6329d543-f1ef-414f-93d6-ba97fa75b869,995b68de-9612-4146-8648-fa60527640b5,07-19-2025 08:26:51,1,18,Delivered
9fd90c54-526d-4e74-80a2-67505fdcf894,326ace5f-3f60-491b-95b1-ae12339fa4e2,07-19-2025 23:59:16,2,78,Delivered
9fd90c54-526d-4e74-80a2-67505fdcf894,4365251f-d173-4d6c-8c51-099e54de909c,07-16-2025 10:46:05,1,23,Delivered
9fd90c54-526d-4e74-80a2-67505fdcf894,f1758bad-0c46-444b-b4bb-f72af3355d90,07-05-2025 01:20:35,1,15,Pending
5696a34f-d261-4ac8-ba9b-c70342010225,37e1cf69-0609-4484-8086-289c396b42d4,07-01-2025 05:07:20,2,74,Pending
5696a34f-d261-4ac8-ba9b-c70342010225,d0c1ade4-3690-48a5-a3b5-fce8fa587407,07-05-2025 11:19:51,1,25,Pending
5696a34f-d261-4ac8-ba9b-c70342010225,b0a4f7ce-ce7e-4631-b4d6-16385e6b6a3c,07-16-2025 01:08:46,2,40,Delivered
e2e779d9-f1df-4d6f-ad0a-3955c8b4cd0a,cdaeacf4-b3b6-4197-ad84-354528b8f992,07-04-2025 23:33:54,2,34,Pending
e2e779d9-f1df-4d6f-ad0a-3955c8b4cd0a,1a32ea67-6a9c-466b-a379-f64a0eb3475e,07-07-2025 11:55:55,2,22,Shipped
e2e779d9-f1df-4d6f-ad0a-3955c8b4cd0a,bc16fa94-96b7-4721-84fe-c2b6ff58e891,07-10-2025 05:05:50,3,51,Shipped
c142af7f-b9b1-442e-9933-b913dc002bc8,e097c2e1-bab7-425c-a0cf-dc9174e16a21,07-19-2025 07:45:40,1,25,Delivered
c142af7f-b9b1-442e-9933-b913dc002bc8,afbd5c27-62cd-47e7-829e-e2fc8650b942,07-12-2025 02:15:23,1,21,Shipped
63b9d66b-6669-4574-8f52-323cf85fc405,8866404c-42aa-4584-8ba0-5d9437d86ca2,07-02-2025 00:25:42,1,33,Pending
63b9d66b-6669-4574-8f52-323cf85fc405,e233d34e-2584-4539-9bdd-b358d0d94e9b,07-08-2025 20:04:46,3,48,Shipped
63b9d66b-6669-4574-8f52-323cf85fc405,35638945-913d-4517-8d41-f87eb5b6ed5e,07-03-2025 04:09:28,1,20,Pending
63b9d66b-6669-4574-8f52-323cf85fc405,231ddc0b-1fb8-426d-879f-399b9a496d00,07-12-2025 08:00:23,3,114,Shipped
